node_name,is_accused,is_witness,gender,gender_female,gender_male,brokerage_score,degree,betweenness_centrality,pagerank,closeness_centrality,eigenvector_centrality,clustering_coefficient,constraint,predicted_prob,predicted_accused
? Claudon Noel,0,1,unknown,0,0,0.0,7,0.0,0.0001378031784516,0.1741796994786875,0.0020817796986724,1.0,0.3813034885155876,0.3936935782051957,0
? George,0,1,unknown,0,0,0.0,1,0.0,3.402283989981096e-05,0.0,0.0,0.0,0.0,0.0072794277215915484,0
"? Parisot Goeury
Told of wife's death",0,1,unknown,0,0,0.0,10,0.0,0.0001473599449359,0.1620599878740325,0.0004285173266619,1.0,0.3377973356009071,0.5115325693714576,1
? Toussainct,0,1,unknown,0,0,0.0,10,0.0,0.0001726606908404,0.1801173299508482,0.0059158811806039,1.0,0.3127289078165702,0.5031630791623767,1
? de la Neufville,0,1,unknown,0,0,0.1636363636363637,11,0.0,0.0002070857312212,0.0,0.0,0.8363636363636363,0.3233877467386108,0.7556021371721627,1
? du Val le vieulx,0,1,unknown,0,0,0.0,7,0.0,0.0001201794427944,0.1830044301248489,0.035336775983871,1.0,0.4251638237154271,0.36641063074574104,0
"? femme Colas Vincent Valdezey
Knew no more than husband had already deposed.
(5",0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
? femme Jean Hanna de St Remy,0,1,unknown,0,0,0.0,1,0.0,6.844287857541646e-05,0.1204027556968733,1.0134086450496557e-05,0.0,0.0,0.005518001716722735,0
? fille Mengeon Girard de la Fosse,0,1,unknown,0,0,0.0,1,0.0,3.7068337761560174e-05,0.1081698724052561,1.1631518489232737e-05,0.0,0.0,0.005516500106879264,0
? fils Nicolas Dentandt de la Fosse,0,1,unknown,0,0,0.0,9,0.0,0.0001440811817954,0.1375802349521618,0.0003705714838002,1.0,0.348300563938424,0.49062441091468495,0
A.D. Moselle,0,0,unknown,0,0,0.0,3,0.0,0.0001270518879907,0.0,0.0,1.0,0.925925925925926,0.3633458326602059,0
Abraham Hilaire,0,0,unknown,0,0,0.0,1,0.0,5.245304774232934e-05,0.198966634556441,0.0079872441618349,0.0,0.0,0.004348860953779333,0
Abraham Thomassin cuisenier de St Nicolas,0,1,unknown,0,0,0.0,9,0.0,0.0001270518879907,0.0,0.0,1.0,0.3964334705075445,0.5756060606805029,1
Adam,0,0,unknown,0,0,0.0,2,0.0005453426580092,7.07235119605226e-05,0.1782939653142902,0.0008292396037209,0.0,0.5,0.005116822919131558,0
Adam Bessat,0,1,unknown,0,0,0.0,10,0.0,0.0001651473866349,0.1800102998851166,0.0017362688804454,1.0,0.3309485012755102,0.5036544536668596,1
Adam Bessat de Mazelay,0,1,unknown,0,0,0.0,1,0.0,4.095974371452433e-05,0.0,0.0,0.0,0.0,0.007331027634687055,0
Adam Claudon Thiebault,0,1,unknown,0,0,0.0,1,0.0,6.523674908283398e-05,0.1175496688741721,1.878616602347874e-06,0.0,0.0,0.005540946955511743,0
Adam Fleurant,0,0,unknown,0,0,0.0,1,0.0,3.772729987787708e-05,0.174006280156238,0.000497896891207,0.0,0.0,0.0046480763008722925,0
Adam Ganiel du Void de Belmont,0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
Adam Marchal,0,0,unknown,0,0,0.0,1,0.0,5.067625184054402e-05,0.1852727717524259,0.0014140045469235,0.0,0.0,0.004564777779818155,0
Adam Martin d'Essegney,0,1,unknown,0,0,0.0,1,0.0,6.923684398295991e-05,0.0,0.0,0.0,0.0,0.0075451488160642515,0
Adam Mengel,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Adam Parmentier,0,1,unknown,0,0,0.0,1,0.0,3.351049633351633e-05,0.1254209218879381,3.126412553800193e-06,0.0,0.0,0.005256012968344757,0
Adam Peterquin,0,1,unknown,0,0,0.0,1,0.0,3.135273223496385e-05,0.0,0.0,0.0,0.0,0.007259662454522138,0
Adam Rocq,0,0,unknown,0,0,0.0,1,0.0,5.087262633874921e-05,0.1804105292412752,0.0015971785103641,0.0,0.0,0.004621809747923567,0
Adam Tarillon,0,0,unknown,0,0,0.0,1,0.0,5.245304774232934e-05,0.198966634556441,0.0079872441618349,0.0,0.0,0.004348860953779333,0
Adam Thiebault,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Adam Varin de la Neufville,0,1,unknown,0,0,0.0,1,0.0,6.699665481202132e-05,0.1216567160183127,9.722420246631651e-07,0.0,0.0,0.005492084160988663,0
Adam Vaulthier,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Adam fils Jean Didier Jacquemin,0,1,unknown,0,0,0.0,10,0.0,0.0001494740088614,0.1644351161612506,0.0532042917175704,1.0,0.3312307107438016,0.4808856645453281,0
Adloff Bolle,0,1,unknown,0,0,0.0,1,0.0,5.340926094190968e-05,0.1504336886711249,0.0002103307344249,0.0,0.0,0.0050243720756651036,0
Adrian,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Adrian Gallenar serrurier de Bruyeres,0,1,unknown,0,0,0.0,1,0.0,6.525348256853699e-05,0.1459263303253155,6.695923971710911e-05,0.0,0.0,0.005146962718732332,0
Adrian Idoult Jean Martin,0,1,unknown,0,0,0.0,1,0.0,5.16800172849333e-05,0.1548158495451603,0.0001894621614693,0.0,0.0,0.004959017626339658,0
Adrian Jacot de Moriviller,0,1,unknown,0,0,0.0,10,0.0,0.0001736424747485,0.153306342780027,0.0003203109407832,1.0,0.3196540615382212,0.5240254933216777,1
Adrien Villemin,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Adrienne,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Adrienne femme de Mongin Tonnerel,0,1,unknown,0,0,0.0,1,0.0,6.699665481202132e-05,0.1216567160183127,9.722420246631651e-07,0.0,0.0,0.005492084160988663,0
Agathe,0,0,unknown,0,0,1.0,9,0.0016590612575253,0.0003597656442869,0.1984192830007423,0.0048786412362713,0.0,0.1666666666666666,0.9291243316371587,1
Agathe femme Claudon Barbel,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Agathe femme Claudon Claude Didier,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Agathe femme Claudon Urbain,0,0,unknown,0,0,0.0,2,0.0,9.227400827998026e-05,0.0,0.0,1.0,0.8890306122448979,0.3228256052202616,0
Agathe femme Colas Jobay du Faing,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Agathe femme Colas de la Faigne,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Agathe femme Jean Claude Estienne,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Agathe femme Jean Petit Jean Louys,0,1,unknown,0,0,0.0,1,0.0,6.570474024211197e-05,0.1200972618670049,9.897198580140894e-07,0.0,0.0,0.0055070860866650185,0
Agathe femme Nicolas Marchand,0,1,unknown,0,0,0.0,1,0.0,6.05567878268464e-05,0.1576573450836166,0.0005278232195629,0.0,0.0,0.004963619885198843,0
Agathe femme du precedent,0,1,unknown,0,0,0.0,1,0.0,6.537431645111953e-05,0.1451989135644671,4.056184525013362e-05,0.0,0.0,0.005157628711949696,0
Agatte,0,0,unknown,0,0,1.0,3,0.0016586588582883,0.0001051820742512,0.2007954043305347,0.0031258902591685,0.0,0.5,0.8091256456053061,1
Agatte femme Jean Jacot Henry,0,1,unknown,0,0,0.0,1,0.0,6.523674908283398e-05,0.1175496688741721,1.878616602347874e-06,0.0,0.0,0.005540946955511743,0
Agatte femme Mengeon Demenge Lienard,0,1,unknown,0,0,0.0,10,0.0,0.0001376346901465,0.1250343954653018,6.067885156338006e-06,1.0,0.3578983471074379,0.5333753602944293,1
Agatte veuve Jean de la Dague,0,1,unknown,0,0,0.0,1,0.0,6.523674908283398e-05,0.1175496688741721,1.878616602347874e-06,0.0,0.0,0.005540946955511743,0
Agnatte femme du precedent,0,1,unknown,0,0,0.0,10,0.0,0.0001531108868625,0.1837221525896575,0.0078045988057981,1.0,0.3029051741908884,0.49473797141796444,0
Agnel,0,0,unknown,0,0,0.0,2,0.0,0.0001869317549988,0.0,0.0,0.0,0.0,0.009812078191438579,0
Agnel femme Laurent Masruy de Bathelemont,0,1,unknown,0,0,0.0,1,0.0,6.805260726221143e-05,0.0,0.0,0.0,0.0,0.0075360582081958494,0
Agnel veuve Noel Gaidat de Bathelemont,0,1,unknown,0,0,0.0,1,0.0,6.805260726221143e-05,0.0,0.0,0.0,0.0,0.0075360582081958494,0
Agnelle,0,0,unknown,0,0,0.0,2,0.0022236857602504,7.641730298840562e-05,0.1023515632038922,6.847935771153677e-07,0.0,1.0,0.005073730894946694,0
Agnelle femme Petter Lhore,0,1,unknown,0,0,0.0,10,0.0,0.0001442047795712,0.1140075770880899,9.444551420246729e-06,1.0,0.3255458603282891,0.5421986988407023,1
Agnelle femme Petter Lorre,0,1,unknown,0,0,0.0,10,0.0,0.000145794238699,0.128572236998472,2.2169807166031764e-05,1.0,0.3255458603282892,0.533152415817533,1
Agnelz,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Agnelz femme Bastien Pieton,0,1,unknown,0,0,0.0,1,0.0,3.818223332485612e-05,0.1195474875032886,1.2034032567583449e-05,0.0,0.0,0.005362122775415529,0
Agnes,0,0,unknown,0,0,1.0,5,0.0008015114784875,0.0002322932693162,0.1879938769599933,0.0015075437361958,0.0,0.5,0.8818169040808276,1
Agnes femme Chrestofle Marcoussan,0,0,unknown,0,0,0.0,2,0.0,8.8661457739909e-05,0.0,0.0,1.0,0.865,0.32201607604495325,0
Agnes femme Jean Loys de Bathelemont,0,1,unknown,0,0,0.0,1,0.0,6.805260726221143e-05,0.0,0.0,0.0,0.0,0.0075360582081958494,0
Agnes femme Mathieu Huchon,0,1,unknown,0,0,0.0,1,0.0,5.2454384305974565e-05,0.1620599878740325,0.0004214531598179,0.0,0.0,0.004867957574676014,0
Agnes femme Nicolas Herbel d'Einville,0,1,unknown,0,0,0.0,1,0.0,6.131375582087275e-05,0.1355244713531569,2.684344054132708e-05,0.0,0.0,0.00526704890031179,0
Agnes veuve Jean Demenge Babel,0,1,unknown,0,0,0.0,1,0.0,6.62724262432649e-05,0.1286195476803759,5.593111652525028e-06,0.0,0.0,0.005389721313137197,0
Agnes veuve Jean Demenge Babel de Faing-Thiery,0,1,unknown,0,0,0.0,1,0.0,5.641316443814461e-05,0.14852585474276,0.0016598269123686,0.0,0.0,0.005048428088889174,0
Agnez,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Agnez femme de Claude Vallon gouverneur moderne de Charmes,0,1,unknown,0,0,0.0,10,0.0,0.0001447780516423,0.0,0.0,1.0,0.361,0.6147245837640691,1
Agnon,0,0,unknown,0,0,0.0,1,0.0,6.449583993631985e-05,0.1320009295840111,5.842002421468418e-06,0.0,0.0,0.005332962663509272,0
Agnon femme Claudon Barbier,0,1,unknown,0,0,0.0,1,0.0,4.910614922457001e-05,0.1694573932500466,0.000476123675686,0.0,0.0,0.004758486823072263,0
Agnon veuve Claudon Barbier,0,1,unknown,0,0,0.0,1,0.0,4.9968773309857474e-05,0.16062212796041,0.0003107414293277,0.0,0.0,0.004874987498731706,0
Aley,0,0,unknown,0,0,0.0,2,0.0002201188641866,9.9971952162305e-05,0.1560010985992859,0.000164824987982,0.0,1.0,0.005829870754615976,0
Aley femme Claudon Thiriot,0,1,unknown,0,0,0.0,1,0.0,6.721437769218219e-05,0.1465097533451555,5.949588135421253e-05,0.0,0.0,0.005149555192985175,0
Aley femme Jean Perrin,0,0,unknown,0,0,0.0,2,0.0,0.0001270518879907,0.0,0.0,1.0,1.125,0.33067280035649965,0
Alison,0,0,unknown,0,0,1.0,6,0.001648006855715,0.0002093478384788,0.2025948548753845,0.0046174204961419,0.0,0.25,0.8783947399536902,1
Alison femme Demenge Vincent,0,1,unknown,0,0,0.0,10,0.0,0.0001410764700777,0.1412935323383084,8.60670879440619e-05,1.0,0.3548099173553718,0.5236413405771682,1
Alison femme Demenge le Conte,0,1,unknown,0,0,0.0,1,0.0,6.931058766154121e-05,0.0,0.0,0.0,0.0,0.00754571525766778,0
Alison femme Gregoire Xeuxel,0,1,unknown,0,0,0.0,1,0.0,6.739402905366036e-05,0.1126732624166232,1.006493308347612e-05,0.0,0.0,0.0056237434949449145,0
Alison femme Nicolas Gerardin,0,1,unknown,0,0,0.0,1,0.0,5.6976500713591254e-05,0.1565924598525053,0.0001114584148055,0.0,0.0,0.004963823539379345,0
Alison femme Toussaint Thiebel,0,1,unknown,0,0,0.0,1,0.0,5.763532541357515e-05,0.1668196336135687,0.0002166377912093,0.0,0.0,0.004835888419282594,0
Alison femme à Nicolas Thieriat,0,1,unknown,0,0,0.0,10,0.0,0.0001447780516423,0.0,0.0,1.0,0.361,0.6147245837640691,1
Alison veuve Jean Henry Michiel,0,1,unknown,0,0,0.0,1,0.0,6.931058766154121e-05,0.0,0.0,0.0,0.0,0.00754571525766778,0
Alix,0,0,unknown,0,0,1.0,8,0.0039928375636571,0.0003562874652556,0.1973421349778511,0.0023094323893988,0.0,0.5,0.894358249428564,1
Alix femme Claudon Bonnier,0,1,unknown,0,0,0.0,10,0.0,0.0001808460237197,0.0893854748603352,1.2806967011694648e-09,1.0,0.3578983471074379,0.5673467213158035,1
Alix femme Jacquot des Pres,0,1,unknown,0,0,0.0,1,0.0,4.171709619798093e-05,0.0893678952129961,4.5355400583346776e-10,0.0,0.0,0.005819890177738551,0
Alix femme Jean Jerome,0,1,unknown,0,0,0.0,1,0.0,6.237580206612934e-05,0.1585208442351299,0.000401196543765,0.0,0.0,0.004963115192678107,0
Alix femme de Jean Becquol de Dignonville,0,1,unknown,0,0,0.0,1,0.0,4.0577470845206975e-05,0.0,0.0,0.0,0.0,0.007328174682556546,0
Alix femme du maire Laurent Laurent de Brantigny,0,1,unknown,0,0,0.0,10,0.0,0.0001546230503281,0.0,0.0,1.0,0.361,0.61711347624054,1
Alix soeur de la precedente,0,1,unknown,0,0,0.0,1,0.0,3.135273223496385e-05,0.0,0.0,0.0,0.0,0.007259662454522138,0
Alix veuve Demenge Marond,0,0,unknown,0,0,0.0,2,0.0,9.547466311035676e-05,0.0,0.0,1.0,0.8559027777777777,0.32354372227455697,0
Alix veuve Idoul Odniat,0,1,unknown,0,0,0.0,10,0.0,0.0001930190188024,0.1637418471406435,0.0004596123106794,1.0,0.3491834022038567,0.52211438849728,1
Alix veuve de Claudon Simonin de Seuch,0,1,unknown,0,0,0.0,1,0.0,3.9619532947165025e-05,0.1296692634763005,8.877071698902337e-06,0.0,0.0,0.005230824108608561,0
Alix veuve de Nicolas de Vaubexy cordonnier de Charmes,0,1,unknown,0,0,0.0,10,0.0,0.0001447780516423,0.0,0.0,1.0,0.361,0.6147245837640691,1
Alixy Domballe,0,0,unknown,0,0,0.0,1,0.0,6.255187148405211e-05,0.1268848430693622,4.94506652453404e-05,0.0,0.0,0.005392994562937902,0
Alizon,0,0,unknown,0,0,1.0,16,0.0140621082175543,0.000758438623812,0.1857650954580761,0.0020963985965903,0.0,0.1428571428571428,0.9203884252282344,1
Alizon Bretan,0,1,unknown,0,0,0.0,8,0.0,0.0001270518879907,0.0,0.0,1.0,0.439453125,0.5400364102071754,1
Alizon Chardot,0,0,unknown,0,0,0.0,3,0.0,0.000113026679576,0.0,0.0,1.0,0.808641975308642,0.36002453145457636,0
Alizon femme Claudin Mourot,0,1,unknown,0,0,0.0,1,0.0,4.171709619798093e-05,0.0893678952129961,4.5355400583346776e-10,0.0,0.0,0.005819890177738551,0
Alizon femme Claudon Villermin d'Einville,0,1,unknown,0,0,0.0,1,0.0,6.131375582087275e-05,0.1355244713531569,2.684344054132708e-05,0.0,0.0,0.00526704890031179,0
Alizon femme Colas Liebault,0,1,unknown,0,0,0.0,10,0.0,0.0001717621724081,0.16,0.002708678484056,1.0,0.2985849183515267,0.517846973720708,1
Alizon femme Demenge Barbouiller,0,1,unknown,0,0,0.0,10,0.0,0.0001930190188024,0.1637418471406435,0.0004596123106794,1.0,0.3491834022038567,0.52211438849728,1
Alizon femme Demenge Chottey,0,1,unknown,0,0,0.0,1,0.0,5.678280300739969e-05,0.1641203452884025,0.000270748279768,0.0,0.0,0.004865069732022064,0
Alizon femme Demenge Marchal,0,1,unknown,0,0,0.0,1,0.0,3.8355415769407395e-05,0.1504984599079256,0.0006834158132346,0.0,0.0,0.004941703662088847,0
Alizon femme Demenge Remy,0,1,unknown,0,0,0.4117647058823529,18,0.0014231539079445,0.0002822437040472,0.1749643833506603,0.0056039666877766,0.5882352941176471,0.1931525850480892,0.9048532517533552,1
Alizon femme Didier Bandeça,0,1,unknown,0,0,0.4117647058823529,18,0.0014231539079445,0.0002822437040472,0.1749643833506603,0.0056039666877766,0.5882352941176471,0.1931525850480892,0.9048532517533552,1
Alizon femme Georgeon Claudon Noel moictrier a la grange du haut ban,0,1,unknown,0,0,0.0,10,0.0,0.000163235558977,0.0,0.0,1.0,0.361,0.6191986798677668,1
Alizon femme Lucas Massic,0,1,unknown,0,0,0.0,1,0.0,5.8989283590985216e-05,0.1610605040229681,0.0001615296886849,0.0,0.0,0.0049161249588347495,0
Alizon femme Michiel le Geay de Rozieres,0,1,unknown,0,0,0.0,7,0.0,0.0001270518879907,0.0,0.0,1.0,0.4927113702623905,0.5040541815246684,1
Alizon femme Nicolas Coupechausse,0,1,unknown,0,0,0.0,1,0.0,5.8989283590985216e-05,0.1610605040229681,0.0001615296886849,0.0,0.0,0.0049161249588347495,0
Alizon femme du precedent,0,1,unknown,0,0,0.1818181818181817,11,0.0151494607087827,0.0002008673556715,0.1595561641911584,0.0020709898863551,0.8181818181818182,0.2728551668391228,0.2345750171756832,0
Alizon veuve Claudon Durand,0,1,unknown,0,0,0.0,10,0.0,0.0001847468048233,0.1700662449941989,0.0025915761535649,1.0,0.3517347107438016,0.5146809270379356,1
Alizon veuve Claudon Durand de Pajaille,0,1,unknown,0,0,0.0,10,0.0,0.0001718443413769,0.0978635423845623,2.8802779071967914e-06,1.0,0.354809917355372,0.5596341882646972,1
Alizon veuve Cugnin Aubertin,0,1,unknown,0,0,0.0,5,0.0,0.0001235206005172,0.0,0.0,1.0,0.5980641975308643,0.43144711702934657,0
Allison,0,1,unknown,0,0,0.4230769230769231,13,0.0032585901137851,0.0002272803975363,0.1869420331591722,0.0039777733436444,0.5769230769230769,0.2330377906735364,0.7762574887533631,1
Allison Colas Estienne de Domjevin,0,1,unknown,0,0,0.0,10,0.0,0.0001437934450831,0.0,0.0,1.0,0.3021096552157911,0.6144853621096891,1
Allison femme Demenge Vincent,0,1,unknown,0,0,0.0,10,0.0,0.0001638825406038,0.1487543784987069,0.000256288407759,1.0,0.3491834022038567,0.524526156790522,1
Allison femme Mre Estienne Cougnat,0,1,unknown,0,0,0.0,10,0.0,0.0001332495785808,0.1571720106533845,0.0012473646480549,1.0,0.344125,0.5106423636837594,1
Allison femme a Didier Jean Didier de Repas,0,1,unknown,0,0,0.0,1,0.0,6.468672535527015e-05,0.0,0.0,0.0,0.0,0.007510279850315529,0
Allix le Gardens,0,1,unknown,0,0,0.0,1,0.0,3.818223332485612e-05,0.1195474875032886,1.2034032567583449e-05,0.0,0.0,0.005362122775415529,0
Alois Humbert,0,0,unknown,0,0,0.0,1,0.0,4.4900438099849415e-05,0.1588533473169026,0.0002828467765868,0.0,0.0,0.004872456294506552,0
Alyson,0,0,unknown,0,0,0.0,2,0.0002201188641866,0.0001331855168335,0.1354759846158433,1.0894007256987005e-05,0.0,1.0,0.006362470318339428,0
Alyson femme Bernard Mathieu,0,1,unknown,0,0,0.0,1,0.0,6.903672616983476e-05,0.0,0.0,0.0,0.0,0.007543611879239581,0
Alyson femme Michiel,0,1,unknown,0,0,0.0,1,0.0,6.903672616983476e-05,0.0,0.0,0.0,0.0,0.007543611879239581,0
Alyson femme jeune Haman,0,1,unknown,0,0,0.0,1,0.0,6.903672616983476e-05,0.0,0.0,0.0,0.0,0.007543611879239581,0
Ambroise Caba,0,0,unknown,0,0,0.0,1,0.0,3.717310357809114e-05,0.1702510303484451,0.0004489729578005,0.0,0.0,0.004691477513675529,0
Ambroise Pierat,0,1,unknown,0,0,0.0,1,0.0,6.272008374226404e-05,0.1411136300114903,0.000555651836286,0.0,0.0,0.0051925189220953264,0
Amprolle,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Amprolle fille Mengel Jacquel Hellelbix du Void de Belmont,0,1,unknown,0,0,0.0,1,0.0,6.947509279068446e-05,0.0,0.0,0.0,0.0,0.0075469790102476834,0
Andress Huraldei bourgeois de Sainte Croix,0,1,unknown,0,0,0.0,6,0.0,0.0001270518879907,0.0,0.0,1.0,0.5601851851851851,0.468029908746759,0
Andreu Baille de la Neuiville,0,1,unknown,0,0,0.0,1,0.0,6.989383311941244e-05,0.0,0.0,0.0,0.0,0.0075501967828732735,0
Andreu Bouillon cordonnier de Charmes,0,1,unknown,0,0,0.0,1,0.0,3.402283989981096e-05,0.0,0.0,0.0,0.0,0.0072794277215915484,0
Andreu Gaixatte,0,1,unknown,0,0,0.0,1,0.0,6.05567878268464e-05,0.1576573450836166,0.0005278232195629,0.0,0.0,0.004963619885198843,0
Andreu Gralp Kopff,0,1,unknown,0,0,0.0,1,0.0,6.903672616983476e-05,0.0,0.0,0.0,0.0,0.007543611879239581,0
Andreu Jacquinot laboureur de St. Prancher,0,1,unknown,0,0,0.0,1,0.0,6.916801654961725e-05,0.0,0.0,0.0,0.0,0.00754462017530667,0
Andreu Mengin bourgeois de Bruyeres,0,1,unknown,0,0,0.0,1,0.0,6.525348256853699e-05,0.1459263303253155,6.695923971710911e-05,0.0,0.0,0.005146962718732332,0
Andreu Pieron,0,0,unknown,0,0,0.0,1,0.0,5.122824359637899e-05,0.1645601709339803,0.0005496319547519,0.0,0.0,0.004829030094413016,0
Anguenesse,0,1,unknown,0,0,0.0,1,0.0,6.422866130685995e-05,0.1550747389256706,9.093292608442065e-05,0.0,0.0,0.005020669876602659,0
Anne,0,1,unknown,0,0,1.0,28,0.0314282478188261,0.0010592967425957,0.2087947433717777,0.007474490004457,0.0,0.0833333333333333,0.9000524321657564,1
Anne Caillet,0,1,unknown,0,0,0.0,1,0.0,6.237580206612934e-05,0.1585208442351299,0.000401196543765,0.0,0.0,0.004963115192678107,0
Anne Marie,0,0,unknown,0,0,0.0,1,0.0,0.0001270518879907,0.0,0.0,0.0,0.0,0.00800244332496485,0
Anne Marie dite Lallemande,0,1,unknown,0,0,0.0,1,0.0,6.770651423854509e-05,0.1429920070489017,5.0738421582069745e-05,0.0,0.0,0.005199493941147611,0
Anne Marie femme Dieudonné Louys,0,1,unknown,0,0,0.0,1,0.0,6.770651423854509e-05,0.1429920070489017,5.0738421582069745e-05,0.0,0.0,0.005199493941147611,0
Anne femme Claude Aulbry de Girecourt,0,1,unknown,0,0,0.0,10,0.0,0.0001334158818478,0.0,0.0,1.0,0.361,0.6119606673734619,1
Anne femme Claude Jean Clerc,0,1,unknown,0,0,0.0,10,0.0,0.0001638825406038,0.1487543784987069,0.000256288407759,1.0,0.3491834022038567,0.524526156790522,1
Anne femme Claudin Caulies de Haraucourt,0,1,unknown,0,0,0.0,1,0.0,6.299827405781249e-05,0.1342432568170403,1.058943161907983e-05,0.0,0.0,0.005293872068296069,0
Anne femme Claudon Lhuillier,0,1,unknown,0,0,0.0,1,0.0,5.8989283590985216e-05,0.1610605040229681,0.0001615296886849,0.0,0.0,0.0049161249588347495,0
Anne femme Didier Villaume de Docelles,0,1,unknown,0,0,0.0,10,0.0,0.0001498705559553,0.0,0.0,1.0,0.361,0.615960980117131,1
Anne femme François des Rivaulx,0,1,unknown,0,0,0.0,10,0.0,0.0001615111154409,0.1475085213439376,0.0001275819743187,1.0,0.3578983471074379,0.5248021923501766,1
Anne femme Jacques Simon,0,1,unknown,0,0,0.0,10,0.0,0.0001615111154409,0.1475085213439376,0.0001275819743187,1.0,0.3578983471074379,0.5248021923501766,1
Anne femme Jacques des Fes de St Nicolas,0,1,unknown,0,0,0.0,1,0.0,6.511368061086824e-05,0.1137393306800831,3.887232247429198e-07,0.0,0.0,0.005595304826952715,0
