node,degree,neighbor_edges,possible_edges,closure_ratio,brokerage_score,entity_type,gender
"B 4094 no 1 Witch 073, Catherine la Rondelatte",29,0,406,0.0,1.0,unknown,unknown
Jean Claudon,3,0,3,0.0,1.0,unknown,unknown
Chretienne,4,0,6,0.0,1.0,unknown,unknown
"B 5344 no 1; witch 098, Synnel, femme Hans Stumpff, mulnier d'Amange (this is the",24,0,276,0.0,1.0,unknown,unknown
"B 8667 No 3 Witch 141, Mathieu Blaise",29,0,406,0.0,1.0,unknown,unknown
Demenge Vincent,3,0,3,0.0,1.0,unknown,unknown
"B 8677 no 11; witch 165, Claudel Demenge Martin, du Pair",27,0,351,0.0,1.0,unknown,unknown
"B 8673 no 1; witch 152, Jean Colas Claude Martin, and his sister Jennon, de Lubine",24,0,276,0.0,1.0,unknown,unknown
"B 8707 no 4; witch 256, Jean Gerardin de la Voivrelle",21,0,210,0.0,1.0,unknown,unknown
Plaisance,5,0,10,0.0,1.0,unknown,unknown
Didiere,8,0,28,0.0,1.0,unknown,unknown
Bastienne,12,0,66,0.0,1.0,unknown,unknown
"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",28,0,378,0.0,1.0,unknown,unknown
B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,22,0,231,0.0,1.0,unknown,unknown
Mengette,4,0,6,0.0,1.0,unknown,unknown
"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",68,0,2278,0.0,1.0,unknown,unknown
Noel George de la Chapelle,3,0,3,0.0,1.0,unknown,unknown
Jehanne,5,0,10,0.0,1.0,unknown,unknown
Jacquotte,7,0,21,0.0,1.0,unknown,unknown
Mariotte,3,0,3,0.0,1.0,unknown,unknown
Nicolas Humbert,3,0,3,0.0,1.0,unknown,unknown
Jean Marchal,4,0,6,0.0,1.0,unknown,unknown
Colas Brabant,3,0,3,0.0,1.0,unknown,unknown
Hellenix,4,0,6,0.0,1.0,unknown,unknown
Demenge Gros Demenge,3,0,3,0.0,1.0,unknown,unknown
Fleuratte,6,0,15,0.0,1.0,unknown,unknown
Nicolas Cordier,3,0,3,0.0,1.0,unknown,unknown
Chrestienne,10,0,45,0.0,1.0,unknown,unknown
"B 8741; witch 315, Margueritte femme Didier Perisc de Mouriviller",22,0,231,0.0,1.0,unknown,unknown
Jacques,4,0,6,0.0,1.0,unknown,unknown
"Vosges G 707 no 1; Witch 336, Jean Lallemand de St Lyenard",29,0,406,0.0,1.0,unknown,unknown
"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",26,0,325,0.0,1.0,unknown,unknown
Jean Hanry,3,0,3,0.0,1.0,unknown,unknown
"B 4500 no 1 Witch 083, Jean et Claudin Aulbry",30,0,435,0.0,1.0,unknown,unknown
Jean Claudel,3,0,3,0.0,1.0,unknown,unknown
Demenge Ganaire,5,0,10,0.0,1.0,unknown,unknown
"B 4500 no 3 Witch 085, Jacquotte Gardeux et Marie Canot",22,0,231,0.0,1.0,unknown,unknown
"B 2521 no 1; Witch 013, Jacotte femme Nicolas François Raon de Xennenay",24,0,276,0.0,1.0,unknown,unknown
Dedie,6,0,15,0.0,1.0,unknown,unknown
Jean Colin,4,0,6,0.0,1.0,unknown,unknown
Alix,8,0,28,0.0,1.0,unknown,unknown
Jean Perrin,3,0,3,0.0,1.0,unknown,unknown
Mengeatte,44,0,946,0.0,1.0,unknown,unknown
Beniste,9,0,36,0.0,1.0,unknown,unknown
Barbellon,3,0,3,0.0,1.0,unknown,unknown
Marguerite,17,0,136,0.0,1.0,unknown,unknown
"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Etival",34,0,561,0.0,1.0,unknown,unknown
Jean Anthoine,4,0,6,0.0,1.0,unknown,unknown
Anne,28,0,378,0.0,1.0,unknown,unknown
Didie,3,0,3,0.0,1.0,unknown,unknown
Nicolas Guerard,3,0,3,0.0,1.0,unknown,unknown
Halbix,3,0,3,0.0,1.0,unknown,unknown
Francoise,13,0,78,0.0,1.0,unknown,unknown
Claude Jean,4,0,6,0.0,1.0,unknown,unknown
Nicole,8,0,28,0.0,1.0,unknown,unknown
Demenge Perrin,3,0,3,0.0,1.0,unknown,unknown
Claudon Quentin,3,0,3,0.0,1.0,unknown,unknown
"Witch 145: B8667 no 7, Colas Mengin de Saint Remy",26,0,325,0.0,1.0,unknown,unknown
"B 8707 no 6; witch 258, Nicolas Pairson of le Vivier",23,0,253,0.0,1.0,unknown,unknown
"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",28,0,378,0.0,1.0,unknown,unknown
Lucie,3,0,3,0.0,1.0,unknown,unknown
Epnon,6,0,15,0.0,1.0,unknown,unknown
"B 8726 no 2; witch 307, Gaspard Didier, marchal, du grand faubourg de Raon",23,0,253,0.0,1.0,unknown,unknown
Isabel,3,0,3,0.0,1.0,unknown,unknown
Jean Symon,3,0,3,0.0,1.0,unknown,unknown
Didier Moictrier,3,0,3,0.0,1.0,unknown,unknown
Claudotte,7,0,21,0.0,1.0,unknown,unknown
Agathe,9,0,36,0.0,1.0,unknown,unknown
"Witch 156: B8677 no 2, George de Hault of Clingotte.",26,0,325,0.0,1.0,unknown,unknown
Noel Gerard,3,0,3,0.0,1.0,unknown,unknown
Collotte,3,0,3,0.0,1.0,unknown,unknown
Jean Grand,6,0,15,0.0,1.0,unknown,unknown
B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,22,0,231,0.0,1.0,unknown,unknown
"B 8708 no 8; witch 269, Jean Jacques Gerardin de la Voivrelle",26,0,325,0.0,1.0,unknown,unknown
Blaisette,4,0,6,0.0,1.0,unknown,unknown
"B 3347 no 1; witch 048, Claude Henri, d'Autrepierre",30,0,435,0.0,1.0,unknown,unknown
Jean Gerard,5,0,10,0.0,1.0,unknown,unknown
Collate,3,0,3,0.0,1.0,unknown,unknown
"B 4500 no 2 Witch 084, Margueritte Gallier, Hanriotte des Boeufs, Claudin Clerget,",24,0,276,0.0,1.0,unknown,unknown
Jannon,9,0,36,0.0,1.0,unknown,unknown
Rose,6,0,15,0.0,1.0,unknown,unknown
Dieudonnee,4,0,6,0.0,1.0,unknown,unknown
Jacotte,7,0,21,0.0,1.0,unknown,unknown
Alison,6,0,15,0.0,1.0,unknown,unknown
Georgeatte,16,0,120,0.0,1.0,unknown,unknown
Idoult,3,0,3,0.0,1.0,unknown,unknown
Jaulne,3,0,3,0.0,1.0,unknown,unknown
Didier,6,0,15,0.0,1.0,unknown,unknown
Claudine,3,0,3,0.0,1.0,unknown,unknown
Didier Jean,3,0,3,0.0,1.0,unknown,unknown
"Vosges 3 C 239; Witch 340, Pierrotte Roy femme Nicolas Martin, de Badonviller.",37,0,666,0.0,1.0,unknown,unknown
"B 8719 no 3; witch 292, Dion veuve Jean Remy de Raon",24,0,276,0.0,1.0,unknown,unknown
Laurence,12,0,66,0.0,1.0,unknown,unknown
"B 5757; witch 105, Sibille femme Jean Vacquaire d'Einville",24,0,276,0.0,1.0,unknown,unknown
Jacques Hugo,3,0,3,0.0,1.0,unknown,unknown
"B 3325 no 2; witch 035, Clemence veuve Claudon Marchal, de Domjevin",33,0,528,0.0,1.0,unknown,unknown
Sebille,21,0,210,0.0,1.0,unknown,unknown
"B 6723 no 2; witch 108, Jean Cachette de Flin",30,0,435,0.0,1.0,unknown,unknown
"B 8959 no 2; witch 322, Agnes femme Chrestofle Marcoussan, de St Nicolas",21,0,210,0.0,1.0,unknown,unknown
Colas Petit,3,0,3,0.0,1.0,unknown,unknown
"B 8691 no 12; witch 223, Mongeatte femme Thoussainct de Leuce, de la Neuveille-",33,0,528,0.0,1.0,unknown,unknown
Jean Claude,7,0,21,0.0,1.0,unknown,unknown
Demenge Claude,3,0,3,0.0,1.0,unknown,unknown
"B 8707 no 2; witch 254, Bastien Stablo de la Bolle",27,0,351,0.0,1.0,unknown,unknown
Jean Diez,3,0,3,0.0,1.0,unknown,unknown
"B 3329; Witch 041, Claudatte femme Nicolas Chollat, de Repas",21,0,210,0.0,1.0,unknown,unknown
Elizabeth,5,0,10,0.0,1.0,unknown,unknown
Zabel,15,0,105,0.0,1.0,unknown,unknown
Babelon,5,0,10,0.0,1.0,unknown,unknown
Mariatte,3,0,3,0.0,1.0,unknown,unknown
Sybille,5,0,10,0.0,1.0,unknown,unknown
Lucas Brandecq,3,0,3,0.0,1.0,unknown,unknown
"B 3317 no 1; Witch 023, Didie veuve Demenge Pourlatte, de Blamont",22,0,231,0.0,1.0,unknown,unknown
Demenge Barbouiller,3,0,3,0.0,1.0,unknown,unknown
Clemence,9,0,36,0.0,1.0,unknown,unknown
"B 8712 no 6; witch 277, Claudon Marchal du Vivier",25,0,300,0.0,1.0,unknown,unknown
"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",26,0,325,0.0,1.0,unknown,unknown
Colas,14,0,91,0.0,1.0,unknown,unknown
"Witch 343; Dumont, t. 2, i-xxvii, Claudon Hardier, de Hesse",23,0,253,0.0,1.0,unknown,unknown
"B 5312 no 4; witch 094, Senelle femme du jeune Enguers, de Guinzeling",30,0,435,0.0,1.0,unknown,unknown
Jehannon,3,0,3,0.0,1.0,unknown,unknown
Claude,12,0,66,0.0,1.0,unknown,unknown
Dion,4,0,6,0.0,1.0,unknown,unknown
"B 3789 No 3; Witch 060, Petroniere femme Jean Varnier dit Bessat, de Bruyères",35,0,595,0.0,1.0,unknown,unknown
Claudette,21,0,210,0.0,1.0,unknown,unknown
"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",38,0,703,0.0,1.0,unknown,unknown
Colatte,15,0,105,0.0,1.0,unknown,unknown
"B 3804 no 3; Witch 068, Mengeon Lausson de Fontenay et sa femme Mengeotte",55,0,1485,0.0,1.0,unknown,unknown
"B 8673 no 2; witch 153, Jehennon femme Jean Perrin de Girovillers-sous-Montfort",21,0,210,0.0,1.0,unknown,unknown
Cathin,4,0,6,0.0,1.0,unknown,unknown
"B 8693 no 4; witch 233, Claude Colin Michiel dit Bejolley, de Wisembach",39,0,741,0.0,1.0,unknown,unknown
Demenge Piernille,3,0,3,0.0,1.0,unknown,unknown
Mengin,3,0,3,0.0,1.0,unknown,unknown
Barbeline,15,0,105,0.0,1.0,unknown,unknown
Didier Doyen,3,0,3,0.0,1.0,unknown,unknown
Synnelle,3,0,3,0.0,1.0,unknown,unknown
Jean Thieriat,3,0,3,0.0,1.0,unknown,unknown
Libaire,4,0,6,0.0,1.0,unknown,unknown
Colas Pairson,3,0,3,0.0,1.0,unknown,unknown
Zabey,7,0,21,0.0,1.0,unknown,unknown
"B 2583 no 4; witch 018, Mengeotte femme Nicolas Colombain, de l'Estraye",30,0,435,0.0,1.0,unknown,unknown
"B 8693 no 5; witch 234, Bernarde femme Demenge Baille, de la Neuveville-les-Raon",21,0,210,0.0,1.0,unknown,unknown
Fran,8,0,28,0.0,1.0,unknown,unknown
Jennon,129,3,8256,0.0003633720930232558,0.9996366279069767,unknown,unknown
Catherine,138,5,9453,0.0005289326139849783,0.999471067386015,unknown,unknown
Claudatte,81,4,3240,0.0012345679012345679,0.9987654320987654,unknown,unknown
"B 8691 no 4; witch 215, Meline, veuve Nicolas Charier de Raon",34,1,561,0.0017825311942959,0.9982174688057041,unknown,unknown
Jehenne,43,2,903,0.0022148394241417496,0.9977851605758582,unknown,unknown
Marguitte,64,5,2016,0.00248015873015873,0.9975198412698413,unknown,unknown
"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",26,1,325,0.003076923076923077,0.9969230769230769,unknown,unknown
"B 3325 no 3; witch 036, Jennon femme Gerardin Friot de Domjevin",22,1,231,0.004329004329004329,0.9956709956709957,unknown,unknown
"B 8691 no 1; witch 212, François Marion de Raon",43,4,903,0.004429678848283499,0.9955703211517165,unknown,unknown
"Witch 278: B8715 no 1, Georgeatte femme de Didier Malley de la Neufville-les-Raon",21,1,210,0.004761904761904762,0.9952380952380953,unknown,unknown
Marion,30,3,435,0.006896551724137931,0.993103448275862,unknown,unknown
Mengeon,17,1,136,0.007352941176470588,0.9926470588235294,unknown,unknown
"B 8680 no 5; witch 175, Mongeatte femme Claude Tendon, de Saulcy-sur-Meurthe",21,2,210,0.009523809523809525,0.9904761904761905,unknown,unknown
"B 8677 no 12; witch 166, Mongeatte veuve Jacques de la Woeuvre, de St Blaise",28,4,378,0.010582010582010581,0.9894179894179894,unknown,unknown
"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",24,3,276,0.010869565217391304,0.9891304347826086,unknown,unknown
Margueritte,92,46,4186,0.01098901098901099,0.989010989010989,unknown,unknown
Nicolas,18,2,153,0.013071895424836602,0.9869281045751634,unknown,unknown
Jean Demenge,11,1,55,0.01818181818181818,0.9818181818181818,unknown,unknown
Jeannon,18,3,153,0.0196078431372549,0.9803921568627451,unknown,unknown
"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",41,21,820,0.025609756097560974,0.974390243902439,unknown,unknown
Marie,58,46,1653,0.027828191167574106,0.9721718088324259,unknown,unknown
Jean,32,15,496,0.03024193548387097,0.969758064516129,unknown,unknown
Barbe,48,46,1128,0.040780141843971635,0.9592198581560284,unknown,unknown
Jehennon,61,91,1830,0.04972677595628415,0.9502732240437158,unknown,unknown
Mengeotte,43,45,903,0.04983388704318937,0.9501661129568106,unknown,unknown
Claudon,40,45,780,0.057692307692307696,0.9423076923076923,unknown,unknown
Meline,6,1,15,0.06666666666666667,0.9333333333333333,unknown,unknown
Anthoine,6,1,15,0.06666666666666667,0.9333333333333333,unknown,unknown
Demenge,19,12,171,0.07017543859649122,0.9298245614035088,unknown,unknown
de Leintrey,18,12,153,0.0784313725490196,0.9215686274509804,unknown,unknown
Mongeatte,32,45,496,0.0907258064516129,0.9092741935483871,unknown,unknown
de Raon,12,6,66,0.09090909090909091,0.9090909090909091,unknown,unknown
Jeanne,31,45,465,0.0967741935483871,0.9032258064516129,unknown,unknown
Jean Masson,6,2,15,0.13333333333333333,0.8666666666666667,unknown,unknown
Colas Jean,9,5,36,0.1388888888888889,0.8611111111111112,unknown,unknown
de St Dié,8,4,28,0.14285714285714285,0.8571428571428572,unknown,unknown
de St Blaise,8,4,28,0.14285714285714285,0.8571428571428572,unknown,unknown
de St Nicolas,11,8,55,0.14545454545454545,0.8545454545454545,unknown,unknown
Mongeotte,12,10,66,0.15151515151515152,0.8484848484848485,unknown,unknown
Catherine femme du precedent,52,216,1326,0.16289592760180996,0.8371040723981901,unknown,unknown
Jennon femme du precedent,50,201,1225,0.16408163265306122,0.8359183673469388,unknown,unknown
Marguitte femme du precedent,50,202,1225,0.16489795918367348,0.8351020408163266,unknown,unknown
Colas Masson,4,1,6,0.16666666666666666,0.8333333333333334,unknown,unknown
d'Autrepierre,9,6,36,0.16666666666666666,0.8333333333333334,unknown,unknown
"B 8708 no 9; witch 270, Laurence femme Vincent Bandesapt, de Pajaille",22,45,231,0.19480519480519481,0.8051948051948052,unknown,unknown
Dieudonnée,22,45,231,0.19480519480519481,0.8051948051948052,unknown,unknown
de Raves,5,2,10,0.2,0.8,unknown,unknown
de Blamont,6,3,15,0.2,0.8,unknown,unknown
de la Vacherie,6,3,15,0.2,0.8,unknown,unknown
Collatte,21,45,210,0.21428571428571427,0.7857142857142857,unknown,unknown
"B 8678 no 2; witch 169, Marion veuve Demenge le Masson, de St Dié",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 4495; witch 082, Claudon la Blanche, veuve Claudon Aulbry, de St Prancher",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 8687 no 8; witch 206, Aley femme Jean Perrin, du Mesnil",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 8721 no 1. Witch 293, Dieudonnée femme Toussaint Jalley de Mazelay, 20 March -",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 8945; witch 319, Nicole veuve Mengin Nigal, de Saint Nicolas",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 3804 no 2; Witch 067, Demenge Demongeot, of Dompierre",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
B 8684 no 7. Witch 194; Jean Lallemant de St Lienard,20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 7279; witch 118, Catherine Claude d'Azelot",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 8669 no 4; witch 151, Mengeotte fille Didier Le Compaing, of Develine, ban",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
"B 8712 no 4; witch 275, Jehennon veuve Thomas Diez Thomas de Mazelay",20,45,190,0.23684210526315788,0.7631578947368421,unknown,unknown
de Domjevin,7,5,21,0.23809523809523808,0.7619047619047619,unknown,unknown
de Preny,7,5,21,0.23809523809523808,0.7619047619047619,unknown,unknown
de Sachemont,7,5,21,0.23809523809523808,0.7619047619047619,unknown,unknown
Jean Grand Didier,38,179,703,0.2546230440967283,0.7453769559032717,unknown,unknown
"B 2199 no 2; witch 006, Françoise femme Bastien Bourguignon, dite la Vilaume, du",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 8691 no 18; witch 229, Idoult Charpentier, de la Chapelle",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",19,45,171,0.2631578947368421,0.736842105263158,unknown,unknown
"B 8707 no 5; witch 257, Jennon la Mouratte, femme Bertremin de Laval, de",19,49,171,0.28654970760233917,0.7134502923976609,unknown,unknown
"B 2512; witch 012, Jacotte femme Demenge Romary Petit Colin, de Seuche",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 8702 no 9; witch 248, Jean Pierron Geliat, de la Neuveville-les-Raon",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 8702 no 1; witch 240, Jean Gregoire Mathis de Bertrimoutier",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 8281 no 1; witch 131, Jeanne femme Claudin Bigenel de Villers-sous-Preny",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 8717 no 1; witch 284, Jennon femme Claudon Hennemant de La Vacherie (S.",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 3358 no 2; witch 051, Jeannon, femme Gerardin Marchal, d'Autrepierre",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
"B 2192 no 1; witch 138, Mengin Mathiotte de Mazerulles",18,45,153,0.29411764705882354,0.7058823529411764,unknown,unknown
Jean Didier,16,36,120,0.3,0.7,unknown,unknown
Anthoinette,25,90,300,0.3,0.7,unknown,unknown
"B 8687 no 10; witch 208, Mengeon Claude Perrin de Brehimont",18,47,153,0.30718954248366015,0.6928104575163399,unknown,unknown
Mengeotte femme du precedent,29,126,406,0.3103448275862069,0.6896551724137931,unknown,unknown
Didier Chottey,30,135,435,0.3103448275862069,0.6896551724137931,unknown,unknown
Demenge Antoine de Dompierre,26,105,325,0.3230769230769231,0.676923076923077,unknown,unknown
Jean Willaume,26,105,325,0.3230769230769231,0.676923076923077,unknown,unknown
"B 8684 no 1. Witch 188, Jean Demenge le Clerc dit Mandray, de Hurbache",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8721 no 6. Witch 298, Catherine femme Jean le Maire, of Le Paire (Saulcy-sur-",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 2211 no 1; witch 011, Margueritte femme Jean Estienne, d'Amance",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8700 no 1; witch 236, Colatte femme Colas Bertrand, du Vic, Ban-le-Duc de Clefcy",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8691 no 3; witch 214, Alix veuve Demenge Marond, de Raon",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8708 no 4: witch 265; Jean Marechal, ermite de l'ermitage de Boulain",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 5344 no 4; Witch 101, Synnelle femme Schur Adam d'Amange (Insming)",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8680 no 6; witch 176, Claude Tendon de Saulcy",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 7354; witch 124, Barbe veuve Mengin Remicourt, de Vandeuvre",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8272; witch 127, Jeannon femme Didier Collignon, de Pargny",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8682 no 2; witch 180, Marie Alexey femme Jean Chastellain, de Colroy",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8535 no 1; witch 133, Jehenne Medexin veuve Bastien de Neufviller, de Rozieres",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
B 8721 no 2. Witch 294; Jean Perrin de Giriviller,17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 3789 no 4; witch 061, Ysabeau veuve Nicolas Demenge Richard, d'Aydoilles",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
"B 8724 no 1; witch 301, Humbert Marchal de Coincourt",17,45,136,0.33088235294117646,0.6691176470588236,unknown,unknown
Moyemont,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
de Dompierre,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
de Brouvelieures,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
de l'Estraye,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
de Colroy,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
Jean Marion,3,1,3,0.3333333333333333,0.6666666666666667,unknown,unknown
de la Bolle,4,2,6,0.3333333333333333,0.6666666666666667,unknown,unknown
